,country,name,artists,genre,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
1,Global,As It Was,Harry Styles,pop,0.52,0.731,0.0557,0.342,0.00101,0.311,0.662
2,Global,Running Up That Hill (A Deal With God),Kate Bush,art pop,0.629,0.547,0.055,0.72,0.00314,0.0604,0.197
3,Global,Me Porto Bonito,Bad Bunny,latin,0.911,0.712,0.0817,0.0901,2.68e-05,0.0933,0.425
4,Global,Ojitos Lindos,Bad Bunny,latin,0.647,0.686,0.0413,0.08,1.34e-06,0.528,0.268
5,Global,Yet To Come,BTS,k-pop,0.559,0.885,0.189,0.0432,0.0,0.333,0.683
6,Global,Tití Me Preguntó,Bad Bunny,latin,0.65,0.715,0.253,0.0993,0.000291,0.126,0.187
7,Global,Moscow Mule,Bad Bunny,latin,0.804,0.674,0.0333,0.294,1.18e-06,0.115,0.292
8,Global,Efecto,Bad Bunny,latin,0.801,0.475,0.0516,0.141,1.73e-05,0.0639,0.234
9,Global,Run BTS,BTS,k-pop,0.724,0.818,0.168,0.0201,0.0,0.0358,0.696
10,Global,PROVENZA,KAROL G,latin,0.87,0.516,0.0541,0.656,0.00823,0.11,0.53
11,Global,Party,Bad Bunny,latin,0.829,0.799,0.0897,0.0151,0.000543,0.242,0.471
12,Global,About Damn Time,Lizzo,dance pop,0.836,0.743,0.0656,0.0995,0.0,0.335,0.722
13,Global,Te Felicito,Shakira,colombian pop,0.695,0.636,0.317,0.234,0.0,0.081,0.575
14,Global,Heat Waves,Glass Animals,gauze pop,0.761,0.525,0.0944,0.44,6.7e-06,0.0921,0.531
15,Global,Late Night Talking,Harry Styles,pop,0.714,0.728,0.0468,0.298,0.0,0.106,0.901
16,Global,First Class,Jack Harlow,deep underground hip hop,0.902,0.582,0.109,0.111,3.18e-06,0.111,0.332
17,Global,Bam Bam (feat. Ed Sheeran),Camila Cabello,dance pop,0.756,0.697,0.0401,0.182,0.0,0.333,0.956
18,Global,STAY (with Justin Bieber),The Kid LAROI,australian hip hop,0.591,0.764,0.0483,0.0383,0.0,0.103,0.478
19,Global,Glimpse of Us,Joji,alternative r&b,0.44,0.317,0.0531,0.891,4.78e-06,0.141,0.268
20,Global,I Like You (A Happier Song) (with Doja Cat),Post Malone,dfw rap,0.733,0.67,0.0751,0.121,0.0,0.121,0.472
21,Global,Tarot,Bad Bunny,latin,0.795,0.684,0.0419,0.0225,0.0,0.658,0.419
22,Global,Cold Heart - PNAU Remix,Elton John,glam rock,0.795,0.8,0.0309,0.0354,7.25e-05,0.0915,0.934
23,Global,Después de la Playa,Bad Bunny,latin,0.564,0.903,0.307,0.356,0.0,0.175,0.607
24,Global,Una Noche en Medellín,Cris Mj,mambo chileno,0.87,0.548,0.077,0.0924,4.6e-05,0.0534,0.832
25,Global,MIDDLE OF THE NIGHT,Elley Duhé,alt z,0.41,0.611,0.0467,0.0228,0.0,0.116,0.0899
26,Global,MAMIII,Becky G,latin,0.836,0.703,0.0657,0.0845,0.0,0.138,0.902
27,Global,For Youth,BTS,k-pop,0.633,0.511,0.0368,0.434,0.0,0.248,0.29
28,Global,Un Ratito,Bad Bunny,latin,0.787,0.546,0.0532,0.305,4.55e-05,0.122,0.222
29,Global,Ghost,Justin Bieber,canadian pop,0.601,0.741,0.0478,0.185,2.91e-05,0.415,0.441
30,Global,Born Singer,BTS,k-pop,0.602,0.841,0.109,0.0354,0.0,0.235,0.684
31,Global,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,modern rock,0.728,0.783,0.266,0.237,0.0,0.434,0.555
32,Global,Cooped Up (with Roddy Ricch),Post Malone,dfw rap,0.669,0.773,0.153,0.038,0.0,0.113,0.377
33,Global,One Kiss (with Dua Lipa),Calvin Harris,dance pop,0.791,0.862,0.11,0.037,2.19e-05,0.0814,0.592
34,Global,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,lgbtq+ hip hop,0.741,0.691,0.0672,0.0221,0.0,0.0476,0.892
35,Global,Desesperados,Rauw Alejandro,puerto rican pop,0.869,0.694,0.0783,0.356,0.00125,0.0878,0.511
36,Global,Woman,Doja Cat,dance pop,0.824,0.764,0.0854,0.0888,0.00294,0.117,0.881
37,Global,Shivers,Ed Sheeran,pop,0.788,0.859,0.0856,0.281,0.0,0.0424,0.822
38,Global,Where Are You Now,Lost Frequencies,belgian edm,0.671,0.636,0.103,0.515,0.000411,0.172,0.262
39,Global,Until I Found You,Stephen Sanchez,gen z singer-songwriter,0.539,0.508,0.0288,0.727,0.0,0.174,0.227
40,Global,La Corriente,Bad Bunny,latin,0.663,0.786,0.195,0.229,0.0,0.219,0.579
41,Global,ULTRA SOLO,Polimá Westcoast,trap chileno,0.802,0.846,0.207,0.233,1.92e-05,0.114,0.26
42,Global,Jordan,Ryan Castro,trap colombiano,0.796,0.68,0.37,0.0575,0.000683,0.103,0.71
43,Global,WAIT FOR U (feat. Drake & Tems),Future,atl hip hop,0.463,0.642,0.34,0.314,0.0,0.0686,0.339
44,Global,Music For a Sushi Restaurant,Harry Styles,pop,0.72,0.715,0.04,0.258,0.0568,0.107,0.357
